rownames,year,violent,murder,robbery,prisoners,afam,cauc,male,population,income,density,state,law
244,1990,756.3,11.8,263.5,300,9.871989,55.20558,16.19728,6.506531,13516.36,0.1123385,Georgia,yes
245,1991,738.2,12.8,268.2,327,10.00728,54.94827,15.89805,6.621279,13369.26,0.1143196,Georgia,yes
246,1992,733.2,11,249.8,342,10.13363,54.66885,15.64598,6.759474,13726.43,0.1167056,Georgia,yes
247,1993,723.1,11.4,248,365,10.25108,54.34254,15.38986,6.894092,13868.880000000001,0.1190299,Georgia,yes
248,1994,667.7,10,222.6,387,10.39586,54.12839,15.14298,7.0459,14226.24,0.1216509,Georgia,yes
249,1995,657.1,9.5,205.2,456,10.52201,53.94292,14.94876,7.188538,14538.42,0.1241136,Georgia,yes
250,1996,638.7,8.6,205.4,470,10.65336,53.72744,14.80887,7.332225,14977.11,0.1265945,Georgia,yes
251,1997,606.6,7.5,206.7,462,10.80586,53.5205,14.71933,7.486094,15243.07,0.1292511,Georgia,yes
252,1998,572.7,8.1,187.2,472,10.94355,53.32244,14.67237,7.636522,15974.6,0.1318483,Georgia,yes
253,1999,534,7.5,166.4,502,11.10859,53.18856,14.62885,7.78824,16339.749999999998,0.1344678,Georgia,yes
254,1977,224.8,7.2,128,39,26.65354,24.28329,20.5375,0.918257,13737.259999999998,0.1429194,Hawaii,no
255,1978,270.1,6.7,173.6,44,26.78969,23.98426,20.36709,0.931586,13978.14,0.1449939,Hawaii,no
256,1979,289.7,7.2,184.5,57,26.94793,23.73469,20.07941,0.953305,13977.94,0.1483743,Hawaii,no
257,1980,299.5,8.7,190.2,58,26.97957,23.51738,19.69567,0.96771,13918.01,0.1506163,Hawaii,no
258,1981,247.6,4.8,148.4,65,25.1352,27.77328,19.52127,0.978174,13490.66,0.152245,Hawaii,no
259,1982,255.7,3.1,156.9,77,25.15592,27.5246,19.04051,0.993802,13340.66,0.1546773,Hawaii,no
260,1983,252.1,5.6,130,88,25.01153,27.45545,18.63502,1.012717,13880,0.1576213,Hawaii,no
261,1984,231.9,3.3,115.9,103,24.82482,27.2599,18.31653,1.027935,14300.61,0.1599899,Hawaii,no
262,1985,219.4,4.1,99.4,124,24.72177,27.02564,17.90892,1.039683,14531.72,0.1618184,Hawaii,no
263,1986,245.2,4.8,106.3,134,24.64585,26.86471,17.56933,1.051759,14915.78,0.1636979,Hawaii,no
264,1987,263.3,4.8,98,142,24.64091,26.72901,17.23383,1.067911,15252.779999999999,0.1662118,Hawaii,no
265,1988,257.1,4,84.1,141,24.6308,26.48869,16.83211,1.079823,15906.22,0.1680658,Hawaii,no
266,1989,270.1,4.8,83.2,136,24.63831,26.23444,16.53651,1.094584,16493.62,0.1703633,Hawaii,no
267,1990,280.9,4,91.4,142,24.85353,26.38754,16.16793,1.112703,17061.94,0.1732373,Hawaii,no
268,1991,241.8,4,86.9,150,24.66962,26.44024,15.76782,1.131412,16926.31,0.1761501,Hawaii,no
269,1992,258.4,3.6,99.2,153,24.46166,26.49997,15.44691,1.149926,17201.170000000002,0.1790325,Hawaii,no
270,1993,261.2,3.8,103.6,164,24.25993,26.32638,15.09606,1.161508,17242.91,0.1808357,Hawaii,no
271,1994,262.2,4.2,103.6,198,24.07439,26.25737,14.79892,1.173903,17025.120000000003,0.1827655,Hawaii,no
272,1995,295.6,4.7,130.8,202,23.95598,26.10543,14.50059,1.18049,16731.940000000002,0.1837911,Hawaii,no
273,1996,280.6,3.4,135.6,217,23.9511,26.01487,14.22114,1.184434,16294.730000000001,0.1844051,Hawaii,no
274,1997,277.9,4,118.2,249,24.03664,26.00187,13.96745,1.189322,16300.630000000001,0.1851661,Hawaii,no
275,1998,246.9,2,102.7,288,24.09624,26.04379,13.86349,1.190472,16333.25,0.1853452,Hawaii,no
276,1999,235,3.7,88.1,307,24.16387,26.08433,13.68127,1.185497,16464.73,0.1845706,Hawaii,no
277,1977,236.9,5.5,39.6,82,0.7693518,70.72501,18.70859,0.883471,10702.439999999999,0.0106858,Idaho,no
278,1978,236.4,5.4,40,87,0.7953302,70.47297,18.4472,0.910691,11183.43,0.011015,Idaho,no
279,1979,288.7,5.4,43.3,91,0.8045025,70.13862,18.18274,0.932626,10830.57,0.0112804,Idaho,no
280,1980,313.4,3.1,46.8,92,0.8417872,69.79239,17.95602,0.947983,10560.61,0.011503,Idaho,no
281,1981,283.3,4.5,37.7,87,0.8455596,69.53201,17.68889,0.962203,10307.880000000001,0.0116755,Idaho,no
282,1982,259.2,2.5,30.3,99,0.8571174,69.1673,17.32402,0.973729,9928.871,0.0118154,Idaho,no
283,1983,238.7,3.5,27.3,107,0.8737516,68.87727,17.02201,0.981858,10315,0.011914,Idaho,no
284,1984,235.3,3.4,24.4,121,0.894089,68.74544,16.71792,0.990841,10615.17,0.012023,Idaho,no
285,1985,234.8,2.2,26.8,127,0.9220901,68.65839,16.44944,0.994046,10785.119999999999,0.0120619,Idaho,no
286,1986,222.5,3.2,21.3,133,0.9490763,68.49204,16.20034,0.990226,10878.91,0.0120156,Idaho,no
287,1987,214.2,3.1,24.2,144,0.9795899,68.47251,15.99648,0.985004,11059.85,0.0119522,Idaho,no
288,1988,234.7,3.6,20.2,144,1.013626,68.5293,15.8046,0.985669,11407.42,0.0119603,Idaho,no
289,1989,254.6,2.6,15,157,1.052668,68.68022,15.70031,0.994426,11886.810000000001,0.0120665,Idaho,no
290,1990,275.7,2.7,15,180,1.085008,70.69105,15.65983,1.011882,12089.890000000001,0.012228,Idaho,no
291,1991,290.3,1.8,20.7,190,1.103555,71.35117,15.60041,1.038915,11838.54,0.0125547,Idaho,yes
292,1992,281.4,3.5,21.5,205,1.128468,71.66949,15.64618,1.06649,12237.56,0.0128879,Idaho,yes
293,1993,281.8,2.9,16.9,209,1.165088,72.03497,15.71289,1.101204,12579.76,0.0133074,Idaho,yes
294,1994,285.8,3.5,18.4,234,1.162437,72.30266,15.73883,1.135459,12664.51,0.0137214,Idaho,yes
295,1995,322,4.1,24,245,1.186352,72.63202,15.78395,1.165,12838.02,0.0140784,Idaho,yes
296,1996,267.2,3.6,20.3,283,1.186826,72.77551,15.82892,1.187706,12924.16,0.0143528,Idaho,yes
297,1997,256.8,3.2,19.6,319,1.210849,72.91081,15.86725,1.210638,12939.78,0.0146299,Idaho,yes
298,1998,282.2,2.9,21.5,323,1.241914,72.94096,15.84445,1.230923,13394.34,0.014875,Idaho,yes
299,1999,244.9,2,17.8,330,1.250619,73.22482,15.79188,1.2517,13676.859999999999,0.0151261,Idaho,yes
300,1977,630.6,9.9,280.3,87,5.314545,62.96043,18.08612,11.38632,13784.94,0.2042462,Illinois,no
301,1978,676.7,9.9,292.9,95,5.416671,62.7687,17.97922,11.41256,14175.26,0.204717,Illinois,no
302,1979,743.9,10.7,321.1,96,5.51595,62.54858,17.90405,11.39684,14053.4,0.2044349,Illinois,no
303,1980,808,10.6,367,95,5.659422,62.0413,17.79839,11.4347,13392.09,0.2054938,Illinois,no
304,1981,792.5,10.5,373.2,94,5.717615,61.88957,17.69374,11.44346,13426,0.2056512,Illinois,no
305,1982,774.3,8.8,346.8,113,5.786729,61.5728,17.50049,11.42341,13179.67,0.2052909,Illinois,no
306,1983,728.1,9.7,318.9,119,5.830409,61.23556,17.25182,11.40882,13289,0.2050287,Illinois,no
307,1984,724.9,9,303.8,135,5.887696,60.88976,17.00621,11.41214,14080.04,0.2050883,Illinois,no
308,1985,714.8,8,287.1,149,5.935356,60.61123,16.73879,11.3998,14360.41,0.2048666,Illinois,no
309,1986,808.9,8.9,325.3,161,5.984066,60.26858,16.44861,11.38726,14802.16,0.2046412,Illinois,no
310,1987,796.2,8.3,314.3,168,6.044029,60.00742,16.14987,11.39118,15162.449999999999,0.2047116,Illinois,no
311,1988,810.4,8.6,312.7,171,6.104655,59.83682,15.87374,11.39018,15544.16,0.2046936,Illinois,no
312,1989,845.9,9,335.7,181,6.170642,59.59296,15.61103,11.40979,15766.1,0.205046,Illinois,no
313,1990,967.4,10.3,394,211,6.253667,61.30873,15.35439,11.44698,15816.07,0.2059068,Illinois,no
314,1991,1039.2,11.3,456.1,234,6.289829,61.05313,15.07635,11.53597,15584.92,0.2075077,Illinois,no
315,1992,977.3,11.4,412.5,247,6.34584,60.84206,14.82899,11.6352,16162.44,0.2092925,Illinois,no
316,1993,959.7,11.4,381.2,271,6.404929,60.66113,14.5957,11.72598,16112.960000000001,0.2109255,Illinois,no
317,1994,960.9,11.7,372.6,294,6.450367,60.46421,14.39548,11.80499,16423.68,0.2123466,Illinois,no
318,1995,996.1,10.3,330.8,310,6.498252,60.30975,14.2654,11.88494,16770.52,0.2137847,Illinois,no
319,1996,890.4,10,279.4,317,6.53061,60.21309,14.18194,11.953,17148.170000000002,0.2150091,Illinois,no
320,1997,861.4,9.2,278.4,327,6.582279,60.15479,14.11023,12.01151,17609.079999999998,0.2160615,Illinois,no
321,1998,807.7,8.4,248.5,342,6.644557,60.22058,14.08345,12.06977,18333.670000000002,0.2171096,Illinois,no
322,1999,732.5,7.7,219.4,357,6.703696,60.3039,14.05192,12.12837,18620.52,0.2181636,Illinois,no
323,1977,310.6,7.4,123.2,79,2.6976,67.79831,18.27271,5.425637,11835.16,0.1503071,Indiana,yes
324,1978,323.5,6.2,121.4,80,2.725104,67.7674,18.11898,5.470213,12233.17,0.151542,Indiana,yes
325,1979,338,8.3,132.7,82,2.755229,67.68886,17.97917,5.501176,12092.81,0.1523998,Indiana,yes
326,1980,377.8,8.9,141.4,98,2.823509,67.90417,17.9503,5.490721,11423.84,0.1528087,Indiana,yes
327,1981,341.6,7.1,129,114,2.854706,67.83166,17.82692,5.480425,11349.08,0.1525221,Indiana,yes
328,1982,300.6,6.5,109,138,2.872222,67.70847,17.6267,5.467927,11040.34,0.1521743,Indiana,yes
329,1983,283.8,5.2,99.9,152,2.885897,67.52014,17.3782,5.450402,11203,0.1516866,Indiana,yes
330,1984,305.2,5.5,98.9,164,2.905413,67.398,17.10892,5.458328,11934.76,0.1519072,Indiana,yes
331,1985,309.4,5.8,92.1,165,2.925127,67.2464,16.84403,5.459216,12170.42,0.1519319,Indiana,yes
332,1986,307.7,6,90,175,2.938516,67.04064,16.54667,5.454114,12563.29,0.1517899,Indiana,yes
333,1987,328.5,5.6,88.6,181,2.961735,66.8979,16.23834,5.473009,12860.33,0.1523157,Indiana,yes
334,1988,380,6.4,89,192,2.994701,66.76343,15.94941,5.491734,13148.67,0.1528369,Indiana,yes
335,1989,406.5,6.3,101.4,202,3.025771,66.50909,15.64921,5.523684,13466.31,0.153726,Indiana,yes
336,1990,473.9,6.2,101.3,217,3.074402,68.73007,15.39386,5.555097,13430.25,0.1548675,Indiana,yes
337,1991,505.3,7.5,116,223,3.103143,68.65849,15.18651,5.602062,13198.2,0.1561768,Indiana,yes
338,1992,508.5,8.2,122.2,226,3.153816,68.592,14.99706,5.648649,13680.99,0.1574756,Indiana,yes
339,1993,489.1,7.5,119.8,242,3.194074,68.5289,14.83638,5.701965,13857.17,0.158962,Indiana,yes
340,1994,525.1,7.9,130.2,250,3.237767,68.3758,14.6568,5.745626,14214.82,0.1601792,Indiana,yes
341,1995,524.7,8,135.2,258,3.273013,68.29259,14.53459,5.791819,14286.630000000001,0.1614669,Indiana,yes
342,1996,537,7.2,124.1,275,3.305725,68.28423,14.45186,5.834908,14462.12,0.1626682,Indiana,yes
343,1997,514.6,7.3,132.4,286,3.355477,68.14533,14.38239,5.87237,14747.51,0.1637126,Indiana,yes
344,1998,431,7.7,111.2,301,3.392214,68.09436,14.30045,5.907617,15360.54,0.1646952,Indiana,yes
345,1999,374.6,6.6,109.3,321,3.437446,68.08481,14.19487,5.942901,15641.89,0.1656789,Indiana,yes
346,1977,144,2.3,41.2,66,0.685653,70.63897,18.09675,2.913573,11973.25,0.052083,Iowa,no
347,1978,161.4,2.6,46.9,70,0.7171861,70.57121,17.97955,2.918071,12893.26,0.0521634,Iowa,no
348,1979,181.2,2.2,50.2,70,0.7449912,70.48128,17.87537,2.915739,12504.41,0.0521217,Iowa,no
349,1980,200.4,2.2,54.9,72,0.7836602,70.29703,17.76132,2.914018,11692.24,0.0520686,Iowa,no
350,1981,204.2,2.6,53.6,86,0.8174417,70.04603,17.54038,2.907975,12020.93,0.0519606,Iowa,no
351,1982,172.7,2.3,36.2,88,0.8431925,69.69798,17.23204,2.88819,11586.26,0.0516071,Iowa,no
352,1983,181.1,2.3,41,93,0.8671857,69.30383,16.88523,2.87055,11485,0.0512919,Iowa,no
353,1984,198.7,2,38.3,92,0.8918277,68.98267,16.52477,2.858624,12273.279999999999,0.0510788,Iowa,no
354,1985,211.7,1.9,41.2,97,0.9249439,68.6693,16.1795,2.829685,12403.77,0.0505617,Iowa,no
355,1986,235.1,1.8,42,98,0.9559214,68.29514,15.8061,2.791966,12744.18,0.0498877,Iowa,no
356,1987,231.2,2.1,36.2,98,0.9885779,68.13417,15.44967,2.767005,13066.42,0.0494417,Iowa,no
357,1988,256.8,1.7,39.9,101,1.023085,68.14285,15.16346,2.768392,12895.23,0.0494665,Iowa,no
358,1989,266.3,1.9,39,107,1.061725,67.98687,14.87516,2.770585,13299.289999999999,0.0495057,Iowa,no
359,1990,299.7,1.9,39.2,126,1.099156,70.36103,14.6755,2.779769,13243.560000000001,0.0497498,Iowa,no
360,1991,303.3,2,45,139,1.145482,70.44009,14.57194,2.791227,13054.93,0.0499548,Iowa,no
361,1992,278,1.6,39.6,144,1.194725,70.6496,14.48829,2.806923,13446.69,0.0502358,Iowa,no
362,1993,325.5,2.3,53.9,160,1.239237,70.71407,14.4337,2.820525,13042.08,0.0504792,Iowa,no
363,1994,315.1,1.7,46.9,174,1.284927,70.80584,14.36569,2.829422,13774.660000000002,0.0506384,Iowa,no
364,1995,354.4,1.8,53,192,1.322205,70.96812,14.33379,2.84086,13852.37,0.0508431,Iowa,no
365,1996,272.5,1.9,45.1,207,1.351952,71.02967,14.32462,2.848473,14422.76,0.0509794,Iowa,no
366,1997,310,1.8,55.9,222,1.369852,71.10349,14.28554,2.854396,14780.42,0.0510854,Iowa,no
367,1998,311.5,1.9,50.9,243,1.38377,71.19295,14.23063,2.861025,15185.18,0.051204,Iowa,no
368,1999,280,1.5,36.6,258,1.413076,71.35867,14.14049,2.869413,15307.6,0.0513541,Iowa,no
369,1977,309.8,6.6,100.7,91,2.339736,67.85155,18.43249,2.320647,12012.710000000001,0.0283743,Kansas,no
370,1978,318.2,5.7,93.7,97,2.389649,67.62933,18.20952,2.335657,12349.3,0.0285578,Kansas,no
371,1979,353.6,5.5,102.3,98,2.457519,67.38694,18.05302,2.350908,12677.279999999999,0.0287443,Kansas,no
372,1980,389.3,6.9,113.1,95,2.570198,67.20489,17.9423,2.369039,12135.94,0.0289691,Kansas,no
373,1981,369.4,6.3,109.7,106,2.621958,66.98371,17.80109,2.384859,12327.81,0.0291626,Kansas,no
374,1982,335.9,5.7,87,116,2.654577,66.67711,17.5309,2.401211,12372.65,0.0293626,Kansas,no
375,1983,326.6,5.6,84,129,2.688512,66.37502,17.25579,2.415537,12373,0.0295377,Kansas,no
376,1984,334.2,3.7,71.6,152,2.716664,66.07586,16.88186,2.424076,13044.320000000002,0.0296422,Kansas,no
377,1985,355.8,4.9,78.7,173,2.768463,65.7078,16.58557,2.427412,13269.58,0.0296829,Kansas,no
378,1986,368.8,4.4,79.6,192,2.815035,65.43351,16.23701,2.432616,13547.74,0.0297466,Kansas,no
379,1987,360.7,4.4,82.1,217,2.860774,65.15877,15.90991,2.445387,13666.29,0.0299027,Kansas,no
380,1988,365.2,3.4,85.9,233,2.915734,65.0228,15.6331,2.461987,13750.7,0.0301057,Kansas,no
381,1989,400.8,5.5,99.8,232,2.955258,64.77983,15.37131,2.472847,13725.68,0.0302385,Kansas,no
382,1990,447.7,4,117.6,222,3.021466,66.75621,15.15296,2.480683,13854.68,0.0303177,Kansas,no
383,1991,499.6,6.1,138.4,227,3.038503,66.77325,15.03277,2.495209,13766.19,0.0304952,Kansas,no
384,1992,510.8,6,129.9,231,3.129085,66.91853,14.89706,2.526042,14168.05,0.030872,Kansas,no
385,1993,496.4,6.4,123.6,238,3.143266,67.08665,14.80304,2.547605,14131.39,0.0311356,Kansas,no
386,1994,443,6.7,115.1,226,3.172606,67.2344,14.74646,2.569118,14348.539999999999,0.0313985,Kansas,no
387,1995,420.7,6.2,108.2,248,3.202391,67.45663,14.70315,2.586942,14315.41,0.0316163,Kansas,no
388,1996,413.8,6.6,96.3,274,3.211065,67.61414,14.65681,2.598266,14681.84,0.0317547,Kansas,no
389,1997,409.2,6,93.3,301,3.231118,67.69551,14.68747,2.616339,15126.32,0.0319756,Kansas,no
390,1998,397,5.9,86.8,304,3.272751,67.77126,14.7296,2.638667,15645.27,0.0322485,Kansas,no
391,1999,382.8,6,77.1,310,3.327742,67.8686,14.74104,2.654052,15969.59,0.0324365,Kansas,no
392,1977,233.6,10.1,81.1,107,2.610464,67.92831,18.65448,3.573694,10020.18,0.090131,Kentucky,no
393,1978,223.2,9,81.3,106,2.616112,67.94283,18.46192,3.609976,10365.949999999999,0.0910461,Kentucky,no
394,1979,248,9.5,92.1,97,2.636384,67.92229,18.32852,3.641806,10482.08,0.0918488,Kentucky,no
395,1980,266.7,8.8,95.2,105,2.674675,67.81461,18.19773,3.664221,9951.278999999999,0.0923699,Kentucky,no
396,1981,289.5,8.4,100.7,99,2.684296,67.84683,18.02538,3.670385,9984.56,0.0925253,Kentucky,no
397,1982,315,9.7,97.3,114,2.693218,67.86681,17.83943,3.683437,9895.847,0.0928543,Kentucky,no
398,1983,322.2,9.8,87.1,110,2.696076,67.87104,17.59574,3.69448,9859,0.0931327,Kentucky,no
399,1984,277.8,6.6,70.7,127,2.689983,67.74832,17.30419,3.695451,10608.46,0.0931571,Kentucky,no
400,1985,305.5,6.9,75.7,128,2.704782,67.71535,17.04153,3.694827,10702.71,0.0931414,Kentucky,no
401,1986,334.4,6.7,82.5,133,2.710441,67.63098,16.72124,3.687813,10903.449999999999,0.0929646,Kentucky,no
402,1987,337.8,7.5,90.2,142,2.718658,67.61863,16.42337,3.683325,11209.81,0.0928515,Kentucky,no
403,1988,330.1,6.2,74.3,147,2.734345,67.65378,16.13319,3.680003,11425.94,0.0927677,Kentucky,no
404,1989,356.9,7.9,76.1,191,2.746925,67.61806,15.8395,3.677312,11725.41,0.0926999,Kentucky,no
405,1990,390.4,7.2,69.1,222,2.776728,69.96033,15.59848,3.692584,11798.81,0.0929373,Kentucky,no
406,1991,438,6.8,83.1,241,2.785835,69.9856,15.37847,3.714686,11872.17,0.0934936,Kentucky,no
407,1992,535.5,5.8,87.2,262,2.814295,69.97852,15.20441,3.756358,12297.2,0.0945424,Kentucky,no
408,1993,462.7,6.6,90.4,274,2.812286,70.01945,15.0212,3.792288,12274.54,0.0954467,Kentucky,no
409,1994,444,6.4,93.9,274,2.828954,69.9761,14.83783,3.823215,12441.41,0.0962251,Kentucky,no
410,1995,364.7,7.2,103.7,288,2.841607,70.02628,14.68603,3.855248,12566.61,0.0970313,Kentucky,no
411,1996,320.5,5.9,93.8,311,2.857448,70.04683,14.55364,3.881051,12798.42,0.0976807,Kentucky,no
412,1997,316.9,5.8,90.7,331,2.878564,69.90127,14.46816,3.907816,13178.24,0.0983544,Kentucky,yes
413,1998,284,4.6,75.4,372,2.916852,70.05663,14.34948,3.93431,13660.74,0.0990212,Kentucky,yes
414,1999,300.6,5.4,80,379,2.947063,70.29076,14.22267,3.960825,13889.75,0.0996885,Kentucky,yes
415,1977,524.8,15.5,142.9,120,9.91717,52.29824,19.26863,4.014462,10085.94,0.0893492,Louisiana,no
416,1978,584.9,15.8,173.7,152,9.941655,52.32671,19.18889,4.068578,10621.130000000001,0.0905537,Louisiana,no
417,1979,676.3,16.9,219.4,184,9.950658,52.26536,19.03989,4.137666,10719.44,0.0920914,Louisiana,no
418,1980,665,15.7,197,190,10.07009,52.01642,18.88283,4.223101,10679.1,0.0948564,Louisiana,no
419,1981,638.3,15.6,202,211,10.18019,51.95408,18.76897,4.283298,11000.550000000001,0.0962085,Louisiana,no
420,1982,669.1,16,212.6,216,10.24866,51.83288,18.54009,4.35261,10895.849999999999,0.0977653,Louisiana,no
421,1983,640.9,14.2,190,251,10.2715,51.59832,18.17694,4.395316,10865,0.0987246,Louisiana,no
422,1984,678,12.9,190.5,290,10.31587,51.28816,17.83558,4.400474,11151.25,0.0988404,Louisiana,no
423,1985,694.2,10.9,190.3,310,10.35707,50.92176,17.48074,4.408121,11224.05,0.0990122,Louisiana,no
424,1986,758.2,12.8,223.8,308,10.37283,50.47743,17.08201,4.406918,10933.45,0.0989852,Louisiana,no
425,1987,693,11.1,179,316,10.43954,50.08353,16.73912,4.344129,10757.279999999999,0.0975748,Louisiana,no
426,1988,717.4,11.6,209,346,10.52598,49.70518,16.41509,4.288835,11041.15,0.0963329,Louisiana,no
427,1989,781.8,14.9,237.3,370,10.61883,49.49004,16.10294,4.252906,11239.59,0.0955258,Louisiana,no
428,1990,898.4,17.2,269.8,396,10.77563,51.18166,15.82794,4.219179,11599.93,0.0968457,Louisiana,no
429,1991,951,16.9,278.9,427,10.87662,50.99825,15.7049,4.24095,11751.56,0.0973454,Louisiana,no
430,1992,984.6,17.4,271.4,462,11.0058,50.81783,15.58374,4.270849,12047.28,0.0980317,Louisiana,yes
431,1993,1061.7,20.3,283.6,484,11.15636,50.63774,15.44625,4.284749,12207.01,0.0983508,Louisiana,yes
432,1994,981.9,19.8,267.2,522,11.25805,50.49049,15.3459,4.3065,12619.490000000002,0.09885,Louisiana,yes
433,1995,1007.4,17,268.6,556,11.38109,50.39554,15.28652,4.327978,12779.81,0.099343,Louisiana,yes
434,1996,929.1,17.5,276.6,578,11.50664,50.31187,15.22261,4.338763,12861.29,0.0995906,Louisiana,yes
435,1997,855.9,15.7,239.1,615,11.59418,50.23799,15.14679,4.35139,13170.17,0.0998804,Louisiana,yes
436,1998,779.5,12.8,198,672,11.67677,50.2277,15.07427,4.362758,13656.46,0.1001413,Louisiana,yes
437,1999,732.7,10.7,173.6,736,11.7578,50.20788,14.99215,4.372035,13657.72,0.1003543,Louisiana,yes
438,1977,224.7,2.4,38.7,57,0.3591956,72.24625,18.01832,1.103577,10097.45,0.0356914,Maine,no
439,1978,207.7,2.7,32.9,61,0.3714197,72.36075,17.84332,1.113565,10315.53,0.0360144,Maine,no
440,1979,202.5,2.8,31.8,53,0.3794884,72.46732,17.66768,1.122564,10285.880000000001,0.0363054,Maine,no
441,1980,193.4,2.8,30.8,58,0.4009371,72.38139,17.53962,1.12686,10165.27,0.0363562,Maine,no
442,1981,195.6,3.2,32.5,61,0.4271765,72.41499,17.39059,1.133021,10117.18,0.036555,Maine,no
443,1982,163,2.1,30.5,71,0.4495533,72.28526,17.15235,1.136684,10188.94,0.0366731,Maine,yes
444,1983,159.6,2.1,27.1,69,0.4685661,72.15456,16.86358,1.144769,10551,0.036934,Maine,yes
445,1984,158.5,1.7,26.4,75,0.4877859,72.09315,16.51394,1.15563,11186.74,0.0372844,Maine,yes
446,1985,167.5,2.4,24.4,72,0.5115505,71.89352,16.21613,1.162935,11605.560000000001,0.0375201,Maine,yes
447,1986,147,2,27.9,83,0.5308853,71.6749,15.89844,1.170121,12237.869999999999,0.0377519,Maine,yes
448,1987,152.1,2.5,25.6,106,0.550073,71.55804,15.5957,1.18457,12799.810000000001,0.0382181,Maine,yes
449,1988,157.4,3.1,25.8,106,0.5722569,71.5842,15.3005,1.20383,13314.550000000001,0.0388395,Maine,yes
450,1989,137.2,3.2,24,100,0.5936338,71.46689,14.98429,1.219944,13559.46,0.0393594,Maine,yes
451,1990,143.2,2.4,25.1,116,0.6135811,73.81962,14.65147,1.231296,13319,0.039893,Maine,yes
452,1991,132.1,1.2,22.7,118,0.6260932,73.74602,14.39132,1.235439,12910.92,0.0400272,Maine,yes
453,1992,130.9,1.7,23.3,123,0.6442252,73.66696,14.11032,1.235748,13028.5,0.0400372,Maine,yes
454,1993,125.7,1.6,21.3,121,0.6439703,73.72951,13.93718,1.238256,12960.089999999998,0.0401184,Maine,yes
455,1994,129.9,2.3,22.4,116,0.6440239,73.79119,13.72625,1.237687,13124.83,0.0401,Maine,yes
456,1995,131.4,2,26.9,113,0.6617705,74.01494,13.62509,1.237438,13236.96,0.040092,Maine,yes
457,1996,124.9,2,23.5,107,0.6695472,74.31354,13.58757,1.241436,13521.06,0.0402215,Maine,yes
458,1997,120.8,2,20.7,108,0.6919287,74.57877,13.52939,1.245215,13850.78,0.0403439,Maine,yes
459,1998,125.8,2,21.1,124,0.7122738,74.81993,13.49889,1.247554,14376.22,0.0404197,Maine,yes
460,1999,112.2,2.2,19.4,125,0.729426,75.10503,13.45536,1.25304,14700.039999999999,0.0405974,Maine,yes
461,1977,693.8,8,292.1,192,8.315102,59.80103,18.56987,4.169594,13466,0.4215544,Maryland,no
462,1978,732,8.2,309.6,198,8.572083,59.47229,18.43057,4.183604,13846.74,0.4229708,Maryland,no
463,1979,795.5,9.8,331.2,193,8.846709,59.09584,18.30093,4.191163,13768.02,0.423735,Maryland,no
464,1980,852.4,9.5,392.7,187,9.062828,58.11522,18.00405,4.227643,13577.070000000002,0.4297695,Maryland,no
465,1981,887.1,9.9,424.4,183,9.294334,57.74186,17.82723,4.261908,13593.69,0.4332528,Maryland,no
466,1982,850,10.1,360.5,218,9.449821,57.23314,17.56576,4.282917,13669.869999999999,0.4353885,Maryland,no
467,1983,807.1,8.5,347.4,244,9.593448,56.66724,17.30929,4.313319,14228,0.4384791,Maryland,no
468,1984,792.3,8.1,301.1,277,9.715621,56.08654,16.96554,4.365238,15049.59,0.4437571,Maryland,no
469,1985,834.6,7.9,302.2,285,9.815696,55.51143,16.58506,4.413075,15705.89,0.44862,Maryland,no
470,1986,833,9,304,279,9.923585,54.97762,16.2491,4.486957,16331.09,0.4561306,Maryland,no
471,1987,767.8,9.6,290.3,280,10.00187,54.49474,15.91165,4.565578,16852.429999999997,0.464123,Maryland,no
472,1988,806.8,9.7,301.3,282,10.12178,53.95152,15.57148,4.657908,17367.09,0.473509,Maryland,no
473,1989,855.4,11.6,332.1,291,10.23037,53.39462,15.24628,4.727298,17666.8,0.480563,Maryland,no
474,1990,919,11.5,363.8,323,10.34606,54.47374,14.95992,4.797431,17543.53,0.4907858,Maryland,no
475,1991,956.2,11.7,407.1,348,10.4767,53.90336,14.56282,4.856176,17230.399999999998,0.4967955,Maryland,no
476,1992,1000.1,12.1,429,366,10.63593,53.36663,14.23175,4.902545,17294.18,0.5015391,Maryland,no
477,1993,997.8,12.7,434.7,381,10.80699,52.75498,13.93569,4.942504,17296.66,0.505627,Maryland,no
478,1994,948,11.6,402.5,383,10.98084,52.30801,13.65324,4.985411,17502.91,0.5100165,Maryland,no
479,1995,986.9,11.8,423.1,395,11.13262,51.92822,13.45126,5.02365,17589.98,0.5139284,Maryland,no
480,1996,931.2,11.6,393.2,404,11.35408,51.63616,13.30807,5.057142,17680.94,0.5173547,Maryland,no
481,1997,846.6,9.9,336.8,412,11.5277,51.32299,13.24866,5.092914,18146.86,0.5210142,Maryland,no
482,1998,796.6,10,298.7,413,11.68855,51.06369,13.2526,5.130072,18843.85,0.5248156,Maryland,no
483,1999,743.4,9,263.7,418,11.85378,50.83417,13.30775,5.171634,19445.170000000002,0.5290675,Maryland,no
484,1977,425.3,3.1,169.9,46,1.724251,70.84088,17.98316,5.738201,12553.58,0.7332227,Massachusetts,no
485,1978,462,3.7,172.3,48,1.768283,70.9734,17.90687,5.73647,12957.44,0.7330015,Massachusetts,no
486,1979,531.3,3.7,203.2,49,1.848022,71.03321,17.85132,5.738406,12995.58,0.7332489,Massachusetts,no
