rownames,respondent_id,gender,age,height,children_under_18,household_income,education,location,frequency,recline_frequency,recline_obligation,recline_rude,recline_eliminate,switch_seats_friends,switch_seats_family,wake_up_bathroom,wake_up_walk,baby,unruly_child,two_arm_rests,middle_arm_rest,shade,unsold_seat,talk_stranger,get_up,electronics,smoked
220,3433218213,Male,> 60,,,"$25,000 - $49,999",Bachelor degree,South Atlantic,Never,,,,,,,,,,,,,,,,,,
221,3433213189,Female,30-44,"5'2""",FALSE,"$50,000 - $99,999",Some college or Associate degree,Pacific,Once a year or less,Never,TRUE,Somewhat,TRUE,Somewhat,Somewhat,Somewhat,Very,Very,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE
222,3433212442,Male,18-29,"6'2""",FALSE,,High school degree,South Atlantic,Once a year or less,Never,TRUE,Somewhat,FALSE,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,The people in the aisle and window seats get both arm rests,The person in aisle,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE
223,3433212352,Female,> 60,"5'3""",FALSE,,Bachelor degree,Pacific,Once a year or less,Once in a while,TRUE,Somewhat,FALSE,Somewhat,Somewhat,Somewhat,Very,Very,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Once,FALSE,FALSE
224,3433212324,Male,45-60,"6'1""",FALSE,"$50,000 - $99,999",Bachelor degree,South Atlantic,Once a year or less,Usually,TRUE,No,FALSE,No,No,Somewhat,Somewhat,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,More than five times times,FALSE,FALSE
225,3433210555,Female,30-44,"5'3""",FALSE,"$50,000 - $99,999",Some college or Associate degree,Pacific,Once a year or less,Always,FALSE,No,FALSE,No,No,Somewhat,Very,No,Somewhat,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE
226,3433209371,Male,30-44,"5'8""",TRUE,"$50,000 - $99,999",Some college or Associate degree,Mountain,Once a year or less,Always,FALSE,No,FALSE,No,No,No,Somewhat,Very,Very,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,Somewhat,Three times,FALSE,FALSE
227,3433207203,,,"6'1""",FALSE,,,,Once a year or less,Always,FALSE,No,FALSE,No,No,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE
228,3433206921,Female,30-44,Under 5 ft.,FALSE,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,Once a year or less,Always,FALSE,No,FALSE,Somewhat,Very,Somewhat,Very,Somewhat,Somewhat,The arm rests should be shared,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,Very,No,Twice,FALSE,FALSE
229,3433204206,Male,> 60,"5'7""",FALSE,,Graduate degree,West South Central,Once a year or less,About half the time,FALSE,No,FALSE,Somewhat,No,No,No,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,More than five times times,FALSE,FALSE
230,3433203817,Female,> 60,"5'4""",FALSE,,Bachelor degree,East South Central,Once a year or less,Always,TRUE,No,FALSE,No,No,Somewhat,Somewhat,No,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,Somewhat,Three times,FALSE,FALSE
231,3433203775,Female,30-44,"5'7""",TRUE,"$0 - $24,999",Some college or Associate degree,South Atlantic,Once a year or less,About half the time,FALSE,No,FALSE,No,No,No,No,No,Somewhat,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE
232,3433203355,Male,> 60,,,"$50,000 - $99,999",Bachelor degree,Mountain,Never,,,,,,,,,,,,,,,,,,
233,3433202893,Female,> 60,"5'6""",FALSE,"$50,000 - $99,999",Graduate degree,West South Central,Once a month or less,About half the time,TRUE,No,FALSE,No,No,No,No,No,No,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE
234,3433202043,Male,> 60,"6'1""",FALSE,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,Once a year or less,Always,FALSE,No,FALSE,No,No,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE
235,3433197818,Female,> 60,,,"$100,000 - $149,999",High school degree,,Never,,,,,,,,,,,,,,,,,,
236,3433195418,Male,45-60,"6'0""",TRUE,,Bachelor degree,Middle Atlantic,Once a month or less,About half the time,TRUE,No,FALSE,Somewhat,No,No,No,No,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,Somewhat,Somewhat,Three times,FALSE,FALSE
237,3433194100,,,,,,,,Once a year or less,,,,,,,,,,,,,,,,,,
238,3433191468,Female,> 60,"5'6""",FALSE,"$0 - $24,999",Some college or Associate degree,Middle Atlantic,Once a year or less,Usually,FALSE,No,FALSE,No,No,No,No,No,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE
239,3433189481,Female,> 60,,,"$0 - $24,999",High school degree,Middle Atlantic,Never,,,,,,,,,,,,,,,,,,
240,3433186047,Male,> 60,"5'10""",FALSE,"$50,000 - $99,999",Bachelor degree,Mountain,Once a year or less,Usually,TRUE,No,FALSE,No,No,No,No,No,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,More than five times times,FALSE,FALSE
241,3433185242,Female,> 60,"5'10""",FALSE,"$50,000 - $99,999",Some college or Associate degree,Pacific,Once a year or less,Once in a while,TRUE,No,FALSE,No,No,No,No,No,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,Very,No,Twice,FALSE,FALSE
242,3433184541,Male,> 60,"6'2""",,"$50,000 - $99,999",Bachelor degree,East North Central,Once a month or less,Never,FALSE,Very,FALSE,No,No,No,Very,Very,Somewhat,The arm rests should be shared,The person by the window,Everyone in the row should have some say,No,No,More than five times times,FALSE,FALSE
243,3433184499,Female,30-44,"5'4""",FALSE,"$50,000 - $99,999",Bachelor degree,South Atlantic,Once a year or less,Always,FALSE,No,FALSE,No,No,Very,Very,No,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Four times,FALSE,FALSE
244,3433183494,Male,> 60,"6'4""",FALSE,"$50,000 - $99,999",Some college or Associate degree,East North Central,Once a year or less,Usually,TRUE,No,TRUE,No,No,No,No,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE
245,3433183371,Male,> 60,,,,Graduate degree,South Atlantic,Never,,,,,,,,,,,,,,,,,,
246,3433182349,Female,> 60,"5'8""",FALSE,"$100,000 - $149,999",Graduate degree,Middle Atlantic,Once a month or less,Usually,TRUE,Somewhat,FALSE,No,No,Somewhat,Very,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE
247,3433181353,,,,,,,,Once a year or less,,,,,,,,,,,,,,,,,,
248,3433180795,Male,30-44,"5'6""",TRUE,"$50,000 - $99,999",,New England,Once a month or less,Once in a while,TRUE,Somewhat,FALSE,Somewhat,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The person in aisle,The person in the window seat should have exclusive control,No,No,Three times,TRUE,FALSE
249,3433178932,Female,> 60,"5'3""",TRUE,"$50,000 - $99,999",Graduate degree,Mountain,Once a year or less,Once in a while,TRUE,Somewhat,TRUE,No,No,No,No,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE
250,3433175909,Female,30-44,"5'6""",TRUE,"$50,000 - $99,999",Graduate degree,Pacific,Once a year or less,Usually,TRUE,No,FALSE,No,No,Somewhat,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Three times,FALSE,FALSE
251,3433174882,Male,> 60,"5'10""",FALSE,"$50,000 - $99,999",Bachelor degree,East North Central,Once a year or less,Once in a while,TRUE,No,FALSE,No,No,No,Very,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE
252,3433173989,,,,,,,,Never,,,,,,,,,,,,,,,,,,
253,3433173622,Female,> 60,,,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,Never,,,,,,,,,,,,,,,,,,
254,3433169661,Male,18-29,"5'8""",FALSE,,Some college or Associate degree,South Atlantic,Once a month or less,About half the time,FALSE,No,FALSE,No,No,Somewhat,Somewhat,No,Very,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,TRUE,FALSE
255,3433169369,Male,> 60,"5'7""",FALSE,"$50,000 - $99,999",Graduate degree,Pacific,Once a year or less,Usually,TRUE,No,FALSE,Somewhat,Somewhat,Somewhat,Very,No,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE
256,3433167815,Male,> 60,"6'0""",FALSE,"$50,000 - $99,999",Bachelor degree,West South Central,Once a year or less,Usually,TRUE,No,FALSE,No,No,No,No,No,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE
257,3433166875,Male,30-44,"5'11""",TRUE,"$50,000 - $99,999",Graduate degree,Pacific,Once a year or less,Once in a while,FALSE,No,FALSE,No,No,Somewhat,Somewhat,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,TRUE,FALSE
258,3433166173,Female,> 60,,,,High school degree,South Atlantic,Never,,,,,,,,,,,,,,,,,,
259,3433154896,Female,30-44,Under 5 ft.,FALSE,"$0 - $24,999",Some college or Associate degree,East North Central,Once a year or less,About half the time,FALSE,No,FALSE,No,No,Somewhat,Very,Somewhat,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,TRUE,FALSE
260,3433154561,Male,> 60,"5'8""",FALSE,"$50,000 - $99,999",Bachelor degree,South Atlantic,Once a year or less,Usually,FALSE,No,FALSE,No,No,Somewhat,Somewhat,Very,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Somewhat,Somewhat,Three times,FALSE,FALSE
261,3433152440,Female,> 60,"5'5""",FALSE,"$25,000 - $49,999",Graduate degree,Middle Atlantic,Once a year or less,Always,TRUE,No,FALSE,No,No,No,Very,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE
262,3433152270,Male,45-60,"5'7""",TRUE,,Bachelor degree,Pacific,Once a year or less,Always,FALSE,No,FALSE,No,No,No,No,No,Somewhat,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE
263,3433151150,Female,> 60,"5'10""",FALSE,"$50,000 - $99,999",Bachelor degree,West North Central,Once a year or less,Once in a while,TRUE,No,FALSE,No,No,Somewhat,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE
264,3433147945,Female,> 60,"5'6""",FALSE,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,Once a year or less,Never,TRUE,No,TRUE,No,No,No,No,No,No,The arm rests should be shared,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,Once,FALSE,FALSE
265,3433142536,Female,30-44,"5'6""",FALSE,,Graduate degree,Middle Atlantic,Once a year or less,About half the time,TRUE,Somewhat,FALSE,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE
266,3433138607,Female,30-44,"5'10""",FALSE,,Bachelor degree,East North Central,Once a year or less,Always,TRUE,No,FALSE,No,No,No,No,No,Somewhat,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,More than five times times,FALSE,FALSE
267,3433136902,Female,30-44,"5'4""",TRUE,"$50,000 - $99,999",High school degree,East South Central,Once a year or less,Once in a while,TRUE,Somewhat,FALSE,No,No,No,Somewhat,Somewhat,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Once,FALSE,FALSE
268,3433134491,Female,30-44,"5'6""",TRUE,"$50,000 - $99,999",High school degree,Mountain,Once a year or less,Once in a while,TRUE,No,FALSE,Somewhat,Somewhat,No,Somewhat,No,Very,The person in the middle seat gets both arm rests,The person in aisle,The person in the window seat should have exclusive control,No,No,Twice,TRUE,FALSE
269,3433134128,Female,> 60,"5'0""",FALSE,"$100,000 - $149,999",Graduate degree,South Atlantic,Once a year or less,Never,TRUE,Very,TRUE,No,No,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE
270,3433133066,Male,> 60,"5'9""",FALSE,,Some college or Associate degree,South Atlantic,Once a year or less,Once in a while,TRUE,No,FALSE,No,No,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Three times,FALSE,FALSE
271,3433132169,Male,> 60,"5'7""",FALSE,"$50,000 - $99,999",Graduate degree,Middle Atlantic,Once a year or less,Usually,TRUE,Somewhat,FALSE,No,No,Somewhat,Somewhat,No,Very,Whoever puts their arm on the arm rest first,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE
272,3433131247,Male,> 60,"6'0""",FALSE,"$100,000 - $149,999",Graduate degree,Pacific,Once a month or less,Never,TRUE,Very,TRUE,No,No,No,Somewhat,No,Very,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,Somewhat,Twice,TRUE,FALSE
273,3433130085,Male,45-60,"5'8""",FALSE,"$50,000 - $99,999",Some college or Associate degree,West North Central,Once a year or less,Never,FALSE,No,TRUE,Somewhat,No,No,Somewhat,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,More than five times times,FALSE,FALSE
274,3433128680,Male,> 60,"5'11""",FALSE,,Bachelor degree,Mountain,Once a month or less,Never,FALSE,No,TRUE,Very,Very,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE
275,3433127456,Female,45-60,"5'5""",FALSE,"$0 - $24,999",Some college or Associate degree,Mountain,Once a year or less,Once in a while,FALSE,No,TRUE,No,No,No,Somewhat,No,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE
276,3433127355,Female,30-44,"5'4""",FALSE,"$25,000 - $49,999",Some college or Associate degree,Pacific,Once a year or less,Always,FALSE,No,FALSE,Somewhat,Somewhat,No,Somewhat,No,Very,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,Very,Somewhat,Once,FALSE,FALSE
277,3433127341,Male,45-60,"6'3""",FALSE,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,Once a year or less,Once in a while,TRUE,Somewhat,TRUE,Somewhat,Somewhat,No,Somewhat,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Very,Somewhat,Three times,FALSE,FALSE
278,3433126810,Male,> 60,,,"$25,000 - $49,999",Bachelor degree,East North Central,Never,,,,,,,,,,,,,,,,,,
279,3433125333,Female,45-60,Under 5 ft.,FALSE,"$50,000 - $99,999",Some college or Associate degree,East North Central,Once a year or less,Once in a while,TRUE,No,FALSE,No,No,No,Somewhat,No,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE
280,3433125109,Female,30-44,"5'3""",FALSE,,Graduate degree,Middle Atlantic,A few times per month,Always,FALSE,No,FALSE,No,No,No,Very,Very,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Three times,FALSE,FALSE
281,3433124803,Male,18-29,"6'4""",FALSE,"$25,000 - $49,999",Bachelor degree,Pacific,Once a month or less,Never,TRUE,Very,TRUE,No,No,No,No,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,Somewhat,No,Three times,FALSE,FALSE
282,3433123624,Female,> 60,,,"$50,000 - $99,999",Some college or Associate degree,Pacific,Never,,,,,,,,,,,,,,,,,,
283,3433122984,Female,30-44,,,,Some college or Associate degree,Middle Atlantic,Never,,,,,,,,,,,,,,,,,,
284,3433122572,Female,30-44,"5'5""",FALSE,"$25,000 - $49,999",High school degree,West South Central,Once a year or less,Never,TRUE,Very,TRUE,No,No,No,No,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Once,FALSE,FALSE
285,3433120295,Female,> 60,"5'7""",FALSE,"$100,000 - $149,999",Graduate degree,New England,Once a year or less,Never,TRUE,Somewhat,TRUE,No,No,No,No,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE
286,3433119106,Female,45-60,"5'6""",FALSE,"$100,000 - $149,999",Bachelor degree,East South Central,A few times per month,Usually,FALSE,No,FALSE,No,No,Somewhat,Somewhat,No,Very,The arm rests should be shared,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,Somewhat,Three times,FALSE,FALSE
287,3433118974,Female,30-44,"5'8""",FALSE,"$25,000 - $49,999",Graduate degree,East South Central,Once a year or less,Usually,TRUE,Somewhat,FALSE,No,No,Somewhat,Somewhat,Somewhat,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Somewhat,No,Twice,TRUE,FALSE
288,3433118369,Female,45-60,,,"$50,000 - $99,999",Bachelor degree,New England,Never,,,,,,,,,,,,,,,,,,
289,3433117854,Female,45-60,"5'3""",FALSE,"$50,000 - $99,999",High school degree,Middle Atlantic,Once a year or less,Never,FALSE,No,FALSE,No,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Very,No,Twice,FALSE,FALSE
290,3433116022,Female,> 60,"5'3""",FALSE,,Graduate degree,Middle Atlantic,Once a year or less,Always,TRUE,No,FALSE,No,No,Somewhat,Somewhat,Very,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Four times,FALSE,FALSE
291,3433113130,Female,30-44,"5'4""",FALSE,,Some college or Associate degree,East North Central,Once a month or less,Once in a while,TRUE,No,TRUE,Somewhat,No,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,More than five times times,TRUE,FALSE
292,3433112973,Female,> 60,"5'8""",FALSE,"$50,000 - $99,999",Graduate degree,New England,Once a year or less,Once in a while,TRUE,Somewhat,TRUE,Somewhat,Somewhat,No,Somewhat,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,More than five times times,FALSE,FALSE
293,3433111977,Female,30-44,"5'5""",FALSE,"$50,000 - $99,999",Some college or Associate degree,East North Central,Once a year or less,Always,TRUE,No,FALSE,No,No,Somewhat,Very,Somewhat,Very,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE
294,3433111959,Male,30-44,"6'3""",FALSE,,Graduate degree,Pacific,Once a year or less,Never,TRUE,Somewhat,FALSE,No,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The person in aisle,The person in the window seat should have exclusive control,No,Somewhat,Four times,FALSE,FALSE
295,3433107832,Male,> 60,"5'10""",FALSE,,Graduate degree,South Atlantic,Once a month or less,Always,TRUE,No,FALSE,No,No,No,Very,No,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE
296,3433107608,Female,30-44,"5'2""",FALSE,"$25,000 - $49,999",Bachelor degree,Mountain,Once a year or less,Never,TRUE,Somewhat,TRUE,No,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,Somewhat,No,More than five times times,FALSE,FALSE
297,3433106334,Male,18-29,,,"$0 - $24,999",Some college or Associate degree,Pacific,Never,,,,,,,,,,,,,,,,,,
298,3433106170,Female,45-60,Under 5 ft.,FALSE,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,Once a year or less,Once in a while,FALSE,No,FALSE,No,No,Somewhat,Somewhat,No,Somewhat,The people in the aisle and window seats get both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE
299,3433104895,Female,45-60,"5'5""",FALSE,"$100,000 - $149,999",Graduate degree,,Once a year or less,Never,TRUE,Somewhat,FALSE,No,No,No,Somewhat,Very,Very,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,Four times,FALSE,FALSE
300,3433101109,Female,45-60,,,,High school degree,Middle Atlantic,Never,,,,,,,,,,,,,,,,,,
301,3433100773,Female,45-60,"5'7""",FALSE,,Graduate degree,New England,Once a year or less,Once in a while,TRUE,Somewhat,TRUE,No,No,Somewhat,Very,Somewhat,Very,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,Very,Once,FALSE,FALSE
302,3433100648,Male,> 60,"5'10""",TRUE,"$25,000 - $49,999",Some college or Associate degree,Pacific,Once a year or less,Usually,TRUE,No,TRUE,No,No,No,Very,Somewhat,Very,The arm rests should be shared,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,Somewhat,Very,Twice,FALSE,FALSE
303,3433100189,Female,> 60,,,"$25,000 - $49,999",High school degree,Pacific,Never,,,,,,,,,,,,,,,,,,
304,3433099083,Female,45-60,"5'7""",FALSE,,Graduate degree,South Atlantic,Once a month or less,Once in a while,FALSE,Somewhat,TRUE,No,No,Somewhat,Very,No,Very,The people in the aisle and window seats get both arm rests,The person by the window,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE
305,3433092925,Male,45-60,"6'3""",FALSE,"$50,000 - $99,999",Bachelor degree,Pacific,Once a month or less,About half the time,TRUE,Somewhat,TRUE,Somewhat,No,Somewhat,Somewhat,Somewhat,Somewhat,The people in the aisle and window seats get both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,TRUE,FALSE
306,3433092542,Female,45-60,"5'4""",FALSE,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,Once a year or less,Usually,FALSE,No,FALSE,No,No,No,No,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE
307,3433092034,Male,> 60,"5'8""",FALSE,"$25,000 - $49,999",Graduate degree,South Atlantic,Once a year or less,Once in a while,TRUE,No,FALSE,No,No,No,No,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE
308,3433091714,Female,> 60,"5'1""",FALSE,,Graduate degree,South Atlantic,Once a year or less,Never,TRUE,Very,TRUE,No,No,No,No,No,Very,The person in the middle seat gets both arm rests,The person in aisle,Everyone in the row should have some say,Somewhat,No,Twice,TRUE,FALSE
309,3433091359,Female,30-44,"5'7""",TRUE,"$25,000 - $49,999",Graduate degree,Mountain,Once a year or less,Once in a while,TRUE,No,FALSE,No,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE
310,3433089571,Female,30-44,,,"$0 - $24,999",Bachelor degree,West South Central,Never,,,,,,,,,,,,,,,,,,
311,3433089108,Female,> 60,,,"$25,000 - $49,999",High school degree,Pacific,Never,,,,,,,,,,,,,,,,,,
312,3433085566,Female,30-44,"5'6""",FALSE,,Graduate degree,Middle Atlantic,Once a year or less,Usually,FALSE,No,FALSE,Somewhat,Somewhat,No,No,No,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,Somewhat,Three times,FALSE,FALSE
313,3433081885,Male,> 60,"5'7""",TRUE,,Some college or Associate degree,Pacific,Once a year or less,Usually,TRUE,No,FALSE,No,No,No,Somewhat,No,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Four times,TRUE,FALSE
314,3433081158,Female,30-44,"5'8""",TRUE,"$50,000 - $99,999",Bachelor degree,South Atlantic,Once a year or less,Never,TRUE,No,FALSE,No,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Four times,FALSE,FALSE
315,3433075339,Female,45-60,,,,Bachelor degree,South Atlantic,Never,,,,,,,,,,,,,,,,,,
316,3433070885,Female,30-44,"5'8""",FALSE,"$100,000 - $149,999",Bachelor degree,New England,Once a year or less,Usually,TRUE,No,FALSE,No,No,No,Somewhat,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Four times,FALSE,FALSE
317,3433070481,Female,45-60,"5'3""",FALSE,,Bachelor degree,West South Central,Once a year or less,Never,TRUE,Somewhat,FALSE,Somewhat,No,No,Very,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Very,Somewhat,Twice,FALSE,FALSE
318,3433068348,Male,30-44,"5'11""",FALSE,"$50,000 - $99,999",Bachelor degree,East North Central,Once a year or less,Never,TRUE,Very,TRUE,Somewhat,Somewhat,Somewhat,Very,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,Somewhat,Somewhat,Three times,FALSE,FALSE
319,3433066014,Female,30-44,"5'3""",TRUE,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,Once a month or less,Usually,TRUE,No,FALSE,No,No,No,No,No,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,TRUE,FALSE
320,3433065951,Female,30-44,"5'4""",TRUE,"$100,000 - $149,999",Bachelor degree,Mountain,Once a year or less,About half the time,FALSE,No,TRUE,Somewhat,No,Somewhat,Very,No,Somewhat,The arm rests should be shared,The person in aisle,The person in the window seat should have exclusive control,No,No,Twice,TRUE,FALSE
321,3433065628,Male,18-29,,,"$0 - $24,999",Some college or Associate degree,West South Central,Never,,,,,,,,,,,,,,,,,,
322,3433061705,Male,> 60,"5'9""",FALSE,"$50,000 - $99,999",Graduate degree,South Atlantic,Once a year or less,About half the time,TRUE,No,FALSE,Somewhat,No,No,Somewhat,No,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE
323,3433060473,,,"6'3""",FALSE,,,,Once a month or less,About half the time,TRUE,Somewhat,TRUE,Somewhat,No,Somewhat,Somewhat,,,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,,
324,3433060186,Female,> 60,"5'8""",FALSE,"$0 - $24,999",Bachelor degree,Mountain,Once a year or less,Usually,TRUE,No,FALSE,Somewhat,Somewhat,Somewhat,Somewhat,No,Very,Other (please specify),Other (please specify),The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE
325,3433059796,Female,45-60,"5'5""",FALSE,"$50,000 - $99,999",Graduate degree,South Atlantic,Once a year or less,About half the time,FALSE,No,FALSE,No,No,Somewhat,Somewhat,No,Very,The arm rests should be shared,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,No,Four times,FALSE,FALSE
326,3433058854,,,,,,,,Never,,,,,,,,,,,,,,,,,,
327,3433058367,Male,18-29,,,"$50,000 - $99,999",Some college or Associate degree,West North Central,Never,,,,,,,,,,,,,,,,,,
